file,original_line,pattern,match,disposition,original_context
architecture.html,20,list / possible triad,,Revised: L147,"The goal in section 1.8 is to search over network designs. A search can only vary what the program treats as data, and it can only reject a design cheaply if the layer shapes are known before anything is built. This page covers how a configuration is described, how its shapes are derived, and how its size on chip is counted."
architecture.html,53,hyphenated expression,shape-determining,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Seven dataclasses hold the shape-determining settings, and an eighth, TrainSpec, holds the optimization recipe. A dataclass is simply a Python structure of named fields with types and defaults."
architecture.html,53,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"Seven dataclasses hold the shape-determining settings, and an eighth, TrainSpec, holds the optimization recipe. A dataclass is simply a Python structure of named fields with types and defaults."
architecture.html,66,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"out_channels, kernel_size, stride, padding, dilation, pool, and optional per-layer tau and v_threshold"
architecture.html,66,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"out_channels, kernel_size, stride, padding, dilation, pool, and optional per-layer tau and v_threshold"
architecture.html,67,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Uniform fields (depth, channels, kernel_size) or a per-layer layers_json, plus bias and norm"
architecture.html,67,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"Uniform fields (depth, channels, kernel_size) or a per-layer layers_json, plus bias and norm"
architecture.html,69,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"mode of stride or pool, pool_type, pool kernel and stride"
architecture.html,70,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"final_reduction of flatten or gap, fc_widths, dropout_rate"
architecture.html,77,hyphenated expression,command-line,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Each group is exposed as a flag that accepts key=value pairs. One function, fill_from_kv, reads the dataclass's own field list to decide which keys are valid and what type each value should become. Adding a field to a dataclass therefore adds its command-line option without further work."
architecture.html,77,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"Each group is exposed as a flag that accepts key=value pairs. One function, fill_from_kv, reads the dataclass's own field list to decide which keys are valid and what type each value should become. Adding a field to a dataclass therefore adds its command-line option without further work."
architecture.html,111,list / possible triad,,Revised: L183,"Two fields above need a word of explanation. norm chooses the normalization layer: bn is the ordinary batch normalization of section 1.3, tdbn is a variant that also normalizes across the timesteps rather than the batch alone, and none switches it off. Turning it off makes the model enable a bias on each convolution, since a convolution with neither would hold every output channel at zero mean. dilation spaces a kernel's taps apart so it covers a wider area without more weights. It stays at 1 throughout this project."
architecture.html,128,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"Three parts of the program need the spatial size of every layer: the module that builds the network, the check against the connection limits, and the count of neurons and connections."
architecture.html,135,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"The shapes need to be computed once, stored, and read by all three consumers. Doing so also makes the geometry testable without a GPU, since the computation is ordinary arithmetic."
architecture.html,142,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"plan_network() returns a NetPlan listing every convolution block and linear layer with its input size, output size, channel counts, and cumulative stride, meaning the product of every stride up to that point. The model builder, check_feasibility and count_neurons_and_synapses all take that object as their input."
architecture.html,152,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,The per-layer size comes from the standard convolution formula:
architecture.html,160,hyphenated expression,size-preserving,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Stop shrinking small maps If a feature map has reached 3×3 or smaller, the layer is forced to stride 1 with size-preserving padding whatever the configuration requested. A kernel larger than the remaining map raises InfeasibleConfig with the sizes involved."
architecture.html,161,hyphenated expression,per-layer,Retained for context: punctuation or technical compound alone does not justify a rewrite.,Resolve where downsampling comes from A per-layer pool flag takes precedence and produces a stride-1 convolution followed by pooling. Otherwise the global mode decides between a strided convolution and a pooling layer.
architecture.html,162,hyphenated expression,post-convolution,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Record the result Each block stores its input size, its post-convolution size, which is where the neurons sit, and its post-pooling size, which feeds the next block."
architecture.html,162,hyphenated expression,post-pooling,Retained for context: punctuation or technical compound alone does not justify a rewrite.,"Record the result Each block stores its input size, its post-convolution size, which is where the neurons sit, and its post-pooling size, which feeds the next block."
architecture.html,162,list / possible triad,,Retained: parallel technical items; three items alone are not a defect.,"Record the result Each block stores its input size, its post-convolution size, which is where the neurons sit, and its post-pooling size, which feeds the next block."
